Timestamp,Equity,P/L
2025-07-31 08:00:26,197.04,3.04999999999998
2025-08-01 08:00:25,201.06,5.105254
2025-08-02 08:00:27,202.29,1.59967999999998
2025-08-05 08:00:24,215.03,13.858444
2025-08-06 08:00:25,216.79,2.18581599999999
2025-08-07 08:00:27,239.54,21.107299
2025-08-07 09:45:57,240.43,21.997299
2025-08-08 08:00:26,232.06,-7.658524
2025-08-08 09:39:00,232.65,-7.068524
2025-08-08 09:41:50,232.65,-7.068524
2025-08-08 09:48:40,232.65,-7.068524
2025-08-08 09:58:34,232.62,-7.098524
2025-08-08 10:11:07,232.63,-7.08852400000001
2025-08-08 10:15:12,232.63,-7.08852400000001
2025-08-09 08:01:04,230.8,-2.00197299999999
2025-08-09 08:09:50,230.82,-1.98197300000001
2025-08-11 20:24:07,232.48,0.299266999999986
2025-08-12 08:03:20,232.13,-0.0507330000000081
2025-08-12 08:24:25,232.13,-0.0507330000000081
2025-08-12 11:27:10,233.49,1.30926700000001
2025-08-12 11:36:31,233.49,1.30926700000001
2025-08-12 11:57:12,233.49,1.30926700000001
2025-08-12 12:04:45,232.95,0.769266999999985
2025-08-12 12:12:04,232.95,0.769266999999985
2025-08-12 12:22:06,232.95,0.769266999999985
2025-08-12 12:35:31,232.95,0.769266999999985
2025-08-12 12:45:55,232.95,0.769266999999985
2025-08-12 15:33:07,232.95,0.769266999999985
2025-08-13 08:03:10,234.07,1.119855
2025-08-14 08:03:01,241.3,7.34967400000002
2025-08-15 08:05:19,242.62,1.464293
2025-08-16 08:02:51,241.11,0.328851000000014
2025-08-19 08:02:51,242.5,1.04666399999999
2025-08-20 08:02:53,239.39,-2.71624000000003
2025-08-21 08:03:06,239.73,0.404293999999993
2025-08-22 08:02:54,239.03,-0.560125999999997
2025-08-23 08:02:42,242.63,3.62201400000001
2025-08-23 08:19:25,242.61,3.60201400000003
2025-08-26 08:00:20,240.78,-1.65333100000001
2025-08-27 08:00:29,240.16,-0.716892000000001
2025-08-28 08:00:27,241.26,1.106461
2025-08-29 08:00:37,239.04,-2.273315
2025-08-30 08:03:01,240.37,0.251800000000003
2025-09-03 08:04:29,236.65,-3.20033599999999
2025-09-04 08:03:00,237.78,1.049014
2025-09-04 08:17:38,238.06,1.329014
2025-09-04 08:57:36,237.96,1.22901400000001
2025-09-05 08:03:08,240.38,2.78651500000001
2025-09-06 08:03:06,240.08,-0.421511999999979
2025-09-09 08:05:29,241.39,1.142101
2025-09-10 08:03:19,241.41,0.00863999999998555
2025-09-11 08:02:55,240.26,-1.18276800000001
2025-09-12 08:03:08,240.6,0.376165999999984
2025-09-13 08:03:03,236.3,-3.897921
2025-09-16 08:03:41,234.63,-2.00451800000002
2025-09-17 08:03:08,233.28,-1.15017499999999
2025-09-18 08:03:03,234.83,1.651972
2025-09-19 08:02:55,238.37,3.74592361009999
