Date,Type,Amount,Notes
2025-01-01 00:00:00,BASELINE,195.47,Start of Year 2025
2025-08-01 00:00:00,BASELINE,200.69,Start of Month
2025-08-10 00:00:00,DEPOSIT,100,Manual deposit
2025-08-28 00:00:00,WITHDRAWAL,100,Manual withdrawal
2025-09-01 00:00:00,BASELINE,239.85,Start of Month
2025-09-22 00:00:00,DEPOSIT,64.08,Manual deposit
2025-10-15 00:00:00,DEPOSIT,321.57,Manual Deposit
2025-10-01 00:00:00,BASELINE,620.48,Auto-generated monthly baseline
