Ticker,Current Price,Market Cap,P/E Ratio,Dividend Yield,Yahoo Rating,Market Index Rating
APC.AX,0.008999999612569809,2636396,0.225,,,
AHX.AX,0.7975000143051147,146602576,Infinity,2.51,,
AON.AX,0.006500000134110451,5999262,,,,
APX.AX,0.824999988079071,226492192,,,,
AQN.AX,0.3100000023841858,30995258,,,,
ARU.AX,0.1899999976158142,538456192,,,,
ARB.AX,39.58000183105469,3291599616,33.542377,1.77,,
ARC.AX,0.09799999743700027,5663635,,,,
AM7.AX,0.029999999329447746,3521490,,,,
AXE.AX,0.2549999952316284,70082928,,,,
AR9.AX,0.15000000596046448,62657252,,,,
ARL.AX,0.4699999988079071,98894104,,,,
ADV.AX,0.16500000655651093,10627980,,,,
ARF.AX,4.0,1619232000,19.047619,4.56,,
AGN.AX,0.33000001311302185,42390812,,,,
RGT.AX,0.10999999940395355,8306814,,,,
ARD.AX,0.02500000037252903,37599752,,,,
ALI.AX,2.5,444442496,8.62069,3.8,,
ARG.AX,9.359999656677246,7176199168,27.529411,3.95,,
AGY.AX,0.03799999877810478,59900916,,,,
ARA.AX,0.5099999904632568,99354120,25.5,1.96,,
ARI.AX,0.03999999910593033,35412440,,,,
ALL.AX,69.81999969482422,43392016384,39.897144,1.26,,
AZL.AX,0.006500000134110451,34765080,,,,
AHK.AX,0.3700000047683716,24810276,,,,
A1N.AX,0.47999998927116394,154959840,,4.79,,
ARX.AX,0.675000011920929,240371536,,,,
ALA.AX,0.07999999821186066,95681592,,,,
AMD.AX,0.019999999552965164,17555340,,,,
ARV.AX,0.006000000052154064,20059680,,,,
ATG.AX,0.27000001072883606,85630776,,,,
AYA.AX,2.130000114440918,258777968,,,,
AAJ.AX,0.00800000037997961,2623528,,,,
AS1.AX,0.07999999821186066,110117600,,,,
AFA.AX,0.006000000052154064,4754388,0.2,,,
ASH.AX,0.16500000655651093,23756040,16.500002,6.3,,
AZ9.AX,0.03400000184774399,25695876,,,,
AS2.AX,0.00800000037997961,4043064,,,,
APZ.AX,4.369999885559082,1001726336,15.607142,2.29,,
ASP.AX,0.00800000037997961,20105440,,,,
AKM.AX,0.22499999403953552,114218320,11.25,,,
ASR.AX,0.024000000208616257,9600480,,,,
ASV.AX,0.04600000008940697,34436152,,,,
AO1.AX,0.0010000000474974513,2414980,,,,
APL.AX,0.12999999523162842,8329151,,,,
AAR.AX,0.1899999976158142,271283904,,,,
ATR.AX,0.49000000953674316,204995424,Infinity,,,
ASE.AX,0.014999999664723873,10663064,,,,
ASX.AX,61.209999084472656,11893042176,23.633205,3.65,,
AHN.AX,0.004999999888241291,13595750,,,,
A11.AX,0.20999999344348907,145560864,,,,
ALX.AX,5.190000057220459,7544339456,24.714287,7.71,,
ATP.AX,0.1850000023841858,81222960,3.7,15.14,,
AT1.AX,0.01899999938905239,15393324,,,,
AMS.AX,0.013000000268220901,15795261,,,,
ATA.AX,0.7799999713897705,298470880,26.0,,,
AUB.AX,33.97999954223633,3983781120,22.20915,2.68,,
AIA.AX,6.800000190734863,11479147520,29.565218,1.78,,
CYB.AX,0.07900000363588333,16491093,,,,
ACP.AX,0.023000000044703484,18219128,,,,
AUA.AX,0.02500000037252903,4498350,,,,
AD8.AX,4.670000076293945,405999040,,,,
AKP.AX,6.199999809265137,181102608,,,,
AUG.AX,0.05000000074505806,8497300,,,,
AKN.AX,0.006000000052154064,4823976,,,,
AUK.AX,0.003000000026077032,9070080,,,,
AAM.AX,0.03400000184774399,26831102,,,,
AEE.AX,0.23000000417232513,211308592,,,,
AKA.AX,0.09099999815225601,11470550,0.08425926,,,
AMI.AX,0.2199999988079071,380828800,7.3333335,,,
AWJ.AX,0.1899999976158142,35336388,9.5,,,
AUR.AX,0.007000000216066837,3336382,,,,
AZJ.AX,3.1600000858306885,5548897280,18.588236,4.97,,
1AE.AX,0.06700000166893005,12534494,,,,
A3D.AX,0.04100000113248825,16389423,,,,
AUE.AX,0.6150000095367432,209561264,,,,
AUN.AX,0.10999999940395355,55035200,,,,
AUC.AX,0.8899999856948853,377349312,,,,
AOA.AX,0.003000000026077032,4279530,,,,
AQD.AX,0.03500000014901161,50129804,,,,
ABB.AX,5.179999828338623,1515543680,47.090908,1.54,,
ASB.AX,8.25,3537913600,35.869564,,,
AUH.AX,0.0010000000474974513,3025380,,,,
AHC.AX,0.3799999952316284,138889616,19.0,,,
ANG.AX,0.3050000071525574,189261648,7.6250005,4.92,,
AYT.AX,0.003000000026077032,6336750,,,,
AGD.AX,0.04800000041723251,29390928,,,,
AR1.AX,0.1599999964237213,84897440,,,,
A8G.AX,0.0729999989271164,4225948,,,,
AYM.AX,0.003000000026077032,5527740,,,,
AAC.AX,1.4600000381469727,880039808,,,,
AAP.AX,0.04699999839067459,17324388,4.7,,,
ABE.AX,0.02800000086426735,3666404,,,,
ACL.AX,2.5399999618530273,512973312,14.941176,4.92,,
ACM.AX,0.0560000017285347,3091670,,,,
AHF.AX,0.0430000014603138,33449486,,,,
AEF.AX,6.980000019073486,797339392,38.777775,2.01,,
AFG.AX,2.5899999141693115,712011712,19.923077,4.09,,
AFI.AX,7.230000019073486,9201475584,31.434782,3.67,,
AGC.AX,0.20000000298023224,56351004,,,,
AUZ.AX,0.008500000461935997,14491680,Infinity,,,
AOK.AX,0.0020000000949949026,2122560,,,,
