Ticker,Shares,Average Cost,Current Price,P/L($)
AAPL,33.9615,200.318749,211.45,378.033981
APA,3.2048,18.733788,19.68,3.032421
LDI,97.0959,1.297903,1.71,40.012929
PCG,2.1645,13.91,13.9219,0.025758
PST,500.0,21.09212,22.901,904.44
SMFG,8.2412,14.68,15.7195,8.566727
SPY,10.0,412.908,635.25,2223.42
VUZI,26.8833,2.258992,2.08,-4.811904
ZNTL,51.5706,1.202854,1.43,11.714056
