Date,Ticker,Prediction,Score,Accuracy,Signal,Action
2025-06-15,AAPL,Down,0.49,0.5017,-,HOLD
2025-06-15,MSFT,Down,0.76,0.4209,-,BUY
2025-06-15,GOOGL,Up,0.59,0.6338,-,HOLD
2025-06-15,AMZN,Down,0.35,0.5358,-,SELL
2025-06-15,META,Up,0.52,0.6292,-,HOLD
2025-06-15,TSLA,Up,0.11,0.6166,-,SELL
2025-06-15,SHOP,Down,0.22,0.6236,-,SELL
2025-06-15,ANF,Up,0.94,0.3932,-,BUY
