Date,Ticker,Shares,Average Cost,Current Price,P/L($)
2025-10-23,INTC,1.5311,32.650473,36.85,6.429896
2025-10-23,LITE,0.1694,147.758,158.06,1.745159
2025-10-23,MTG,1.9462,25.702,27.36,3.2268
2025-10-23,NVTS,1.5974,14.1,13.5201,-0.926332
2025-10-23,TLX,2.0,10.72,10.78,0.12
2025-10-23,WFC,0.3242,77.07,84.05,2.262916
